Season	Serie	Team	No	Player	Role	Born	Height	Nat. Sport.	Note
2018-2019	A2	Canovi Coperture Sassuolo	5	SQUARCINI FEDERICA	Middleblocker	2000	183	ITA	
2018-2019	A2	Canovi Coperture Sassuolo	7	MAMBELLI BENEDETTA	Spiker	1995	188	ITA	
2018-2019	A2	Canovi Coperture Sassuolo	8	PROVARONI CLAUDIA	Spiker	1998	181	ITA	until 19/01/2019 TRASFERITA A CUORE DI MAMMA CUTROFIANO
2018-2019	A2	Canovi Coperture Sassuolo	9	MARTINELLI SOFIA	Middleblocker	2000	190	ITA	
2018-2019	A2	Canovi Coperture Sassuolo	10	LANCELLOTTI ELISA	Setter	1991	174	ITA	
2018-2019	A2	Canovi Coperture Sassuolo	11	OBOSSA JOSEPHINE	Opposite	1999	183	ITA	
2018-2019	A2	Canovi Coperture Sassuolo	12	JOLY JESSICA	Spiker	2000	177	ITA	
2018-2019	A2	Canovi Coperture Sassuolo	13	ZARDO CAROLINA	Libero	1992	170	ITA	
2018-2019	A2	Canovi Coperture Sassuolo	14	GALLETTI GIULIA	Setter	1999	185	ITA	
2018-2019	A2	Canovi Coperture Sassuolo	15	KOSAREVA DAYANA	Spiker	1999	187	ITA	from 23/01/2019
2018-2019	A2	Canovi Coperture Sassuolo	18	GATTA FEDERICA	Opposite	2000	186	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	1	BACCHI LUCIA	Spiker	1981	181	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	3	ALTINI LAURA	Opposite	1998	188	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	4	ZAMORA GIL MARTHA MARIA	Opposite	1983	187	ITA	from 24/10/2018 until 29/11/2018
2018-2019	A2	Conad Olimpia Teodora Ravenna	5	LOMBARDI CHIARA	Middleblocker	1994	186	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	6	MENDARO LEYVA YAREMIS	Opposite	1994	187	CUB	
2018-2019	A2	Conad Olimpia Teodora Ravenna	7	GIOLI SIMONA	Middleblocker	1977	185	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	8	TORCOLACCI ALICE	Middleblocker	2000	182	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	9	AGRIFOGLIO BEATRICE	Setter	1994	178	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	10	CALISESI NUI	Libero	1999	173	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	11	CANTON CLARA	Spiker	1998	187	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	13	ROCCHI GIULIA	Libero	1992	170	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	14	ALUIGI CHIARA	Spiker	1993	180	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	15	UBERTINI SERENA	Spiker	1986	178	ITA	
2018-2019	A2	Conad Olimpia Teodora Ravenna	17	LOTTI SILVIA	Spiker	1992	188	ITA	from 21/01/2019 PROVENIENTE DA CUORE DI MAMMA CUTROFIANO
2018-2019	A2	Conad Olimpia Teodora Ravenna	18	VALLICELLI CECILIA	Setter	1993	183	ITA	
2018-2019	A2	Cuore Di Mamma Cutrofiano	1	NEGRO MARIA SOFIA	Setter	2000	184	ITA	
2018-2019	A2	Cuore Di Mamma Cutrofiano	2	PROVARONI CLAUDIA	Spiker	1998	181	ITA	from 20/01/2019 PROVENIENTE DA CANOVI COPERTURE SASSUOLO
2018-2019	A2	Cuore Di Mamma Cutrofiano	5	LOTTI SILVIA	Spiker	1992	188	ITA	until 20/01/2019 TRASFERITA A CONAD OLIMPIA TEODORA RAVENNA
2018-2019	A2	Cuore Di Mamma Cutrofiano	6	MONETA SERENA	Spiker	1990	178	ITA	
2018-2019	A2	Cuore Di Mamma Cutrofiano	7	SAVERIANO FRANCESCA	Setter	1993	174	ITA	
2018-2019	A2	Cuore Di Mamma Cutrofiano	8	VINCENTI VIVIANA	Middleblocker	1981	186	ITA	
2018-2019	A2	Cuore Di Mamma Cutrofiano	9	MANZANO ELISA	Middleblocker	1985	187	ITA	until 23/01/2019
2018-2019	A2	Cuore Di Mamma Cutrofiano	10	BARBAGALLO ALICE	Libero	1997	168	ITA	
2018-2019	A2	Cuore Di Mamma Cutrofiano	14	ANTIGNANO FABIANA	Middleblocker	1995	186	ITA	
2018-2019	A2	Cuore Di Mamma Cutrofiano	15	FARAONE GIORGIA	Libero	1994	168	ITA	
2018-2019	A2	Cuore Di Mamma Cutrofiano	16	BERTONE FLORIANA	Middleblocker	1992	202	ITA	from 16/01/2019 PROVENIENTE DA BOSCA SAN BERNARDO CUNEO
2018-2019	A2	Cuore Di Mamma Cutrofiano	17	LUTZ MERETE SUZANNE	Opposite	1994	208	USA	
2018-2019	A2	Cuore Di Mamma Cutrofiano	18	MORONE EMANUELA	Opposite	1991	183	ITA	
2018-2019	A2	Delta Informatica Trentino	1	CARRARO ROBERTA	Setter	1998	181	ITA	
2018-2019	A2	Delta Informatica Trentino	2	BALDI GLORIA	Opposite	1993	185	ITA	
2018-2019	A2	Delta Informatica Trentino	3	MASON CHIARA	Spiker	2000	183	ITA	
2018-2019	A2	Delta Informatica Trentino	5	MORO ILENIA	Libero	1999	178	ITA	
2018-2019	A2	Delta Informatica Trentino	6	FONDRIEST SILVIA	Middleblocker	1988	188	ITA	
2018-2019	A2	Delta Informatica Trentino	8	MAZZON ALESSIA	Middleblocker	1998	184	ITA	
2018-2019	A2	Delta Informatica Trentino	9	MAZZON GIORGIA	Spiker	1998	184	ITA	
2018-2019	A2	Delta Informatica Trentino	10	MONCADA ELISA	Setter	1987	175	ITA	
2018-2019	A2	Delta Informatica Trentino	11	TOSI SOFIA	Opposite	1997	185	ITA	
2018-2019	A2	Delta Informatica Trentino	12	FURLAN ELEONORA	Middleblocker	1995	188	ITA	
2018-2019	A2	Delta Informatica Trentino	14	FIESOLI ALESSIA	Spiker	1994	185	ITA	
2018-2019	A2	Delta Informatica Trentino	15	VIANELLO VITTORIA	Libero	2000	170	ITA	
2018-2019	A2	Delta Informatica Trentino	18	MC CLENDON DEJA	Spiker	1992	185	USA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	2	CASERTA GIULIA	Middleblocker	1999	182	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	3	FIORI SILVIA	Libero	1994	162	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	4	ALLASIA VERONICA	Setter	2000	180	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	5	SERENA NATALIA	Spiker	1981	186	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	7	NASI CAROLA	Libero	2001	175	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	8	BERTONE SERENA	Middleblocker	1995	185	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	9	BUFFO SIMONA	Opposite	1998	181	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	10	ZANOTTO CARLOTTA	Spiker	1993	181	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	11	TOSINI ELISABETTA	Spiker	2000	180	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	12	GRIGOLO LAURA	Spiker	1996	183	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	13	CASALIS NICOLETTA	Middleblocker	1998	181	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	14	ZAMBONI LAVINIA	Middleblocker	2002	184	ITA	
2018-2019	A2	Eurospin Ford Sara Pinerolo	15	KAJALINA ANNA	Opposite	1991	205	EST	
2018-2019	A2	Eurospin Ford Sara Pinerolo	18	VINGARETTI GIORGIA	Setter	1985	170	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	3	DALIA LUDOVICA	Setter	1984	182	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	6	FUCKA REBEKA	Middleblocker	1999	190	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	7	GHILARDI ALESSIA	Libero	1979	163	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	8	MAGGIPINTO MARIANNA	Libero	1996	164	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	9	GIUGOVAZ LINDA	Spiker	2000	182	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	10	FRIGO LAURA	Middleblocker	1990	185	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	11	REPICE VITTORIA	Middleblocker	1986	185	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	13	MELLI GIULIA	Spiker	1998	184	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	14	CELLA ELISA	Spiker	1982	186	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	15	PEREZ GONZALEZ MARIA JOSE	Opposite	1988	188	VEN	until 25/03/2019
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	17	TREVISIOL AMBRA	Setter	1992	173	ITA	
2018-2019	A2	Golden Tulip Volalto 2.0 Caserta	18	MATUSZKOVA TEREZA	Spiker	1982	192	CZE	from 31/01/2019
2018-2019	A2	Itas Citt? Fiera Martignacco	1	POZZONI BEATRICE	Spiker	1995	186	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	2	TURCO ALICE	Setter	2000	178	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	5	MARTINUZZO LINDA	Middleblocker	1992	186	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	6	DE NARDI GIULIA	Libero	1994	171	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	7	PECALLI MARTA	Libero	2001	165	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	8	DHIMITRIADHI KAROLA	Spiker	1996	180	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	9	BELTRAME ALLISON	Opposite	1998	182	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	10	CARAVELLO LARA	Spiker	1994	176	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	11	SUNDERLIKOVA KARIN	Opposite	1999	188	SVK	
2018-2019	A2	Itas Citt? Fiera Martignacco	12	MOLINARO BEATRICE	Middleblocker	1995	190	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	13	GENNARI GIULIA	Setter	1996	184	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	15	FEDRIGO MARTINA	Spiker	1999	183	ITA	
2018-2019	A2	Itas Citt? Fiera Martignacco	17	TANGINI SIRYA	Middleblocker	1997	185	ITA	
2018-2019	A2	Lpm Bam Mondov?	1	MANDRILE SIMONA	Libero	1999	164	ITA	
2018-2019	A2	Lpm Bam Mondov?	2	BOVOLO IRENE	Spiker	2002	181	ITA	
2018-2019	A2	Lpm Bam Mondov?	3	VALPIANI BEATRICE	Setter	1986	174	ITA	
2018-2019	A2	Lpm Bam Mondov?	6	SCHLEGEL MARIA PRISCILLA	Spiker	1993	184	ESP	
2018-2019	A2	Lpm Bam Mondov?	7	TONELLO VIOLA	Middleblocker	1994	184	ITA	
2018-2019	A2	Lpm Bam Mondov?	8	ANGELINI MATILDE	Setter	1997	182	ITA	
2018-2019	A2	Lpm Bam Mondov?	9	ZANETTE ELISA	Opposite	1996	193	ITA	
2018-2019	A2	Lpm Bam Mondov?	10	MIDRIANO ALESSIA	Middleblocker	1982	183	ITA	
2018-2019	A2	Lpm Bam Mondov?	11	AMBROSIO ALICE	Middleblocker	2000	180	ITA	
2018-2019	A2	Lpm Bam Mondov?	12	BIGANZOLI FEDERICA	Spiker	1987	179	ITA	
2018-2019	A2	Lpm Bam Mondov?	13	VALLI GRETA	Spiker	1992	178	ITA	
2018-2019	A2	Lpm Bam Mondov?	15	REBORA SOFIA	Middleblocker	1993	179	ITA	
2018-2019	A2	Lpm Bam Mondov?	17	AGOSTINO SILVIA	Libero	1989	165	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	1	FAIRS ERIN NICOLE	Spiker	1994	180	USA	
2018-2019	A2	Omag S.Giov. In Marignano	3	MANDRELLI GRETA	Libero	2002	170	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	5	BATTISTONI ILARIA	Setter	1996	174	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	7	PINALI GRETA	Spiker	1997	184	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	8	SAGUATTI GIULIA	Spiker	1991	180	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	9	MAZZOTTI BIANCA	Setter	1998	183	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	10	GIBERTINI GIULIA	Libero	1984	172	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	11	MANFREDINI COSTANZA	Opposite	1988	188	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	13	CASPRINI MARTINA	Opposite	1993	187	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	14	GUASTI ALESSANDRA	Spiker	1996	185	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	15	GRAY ANNA	Middleblocker	1996	187	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	17	CANEVA ANNA	Middleblocker	1992	186	ITA	
2018-2019	A2	Omag S.Giov. In Marignano	18	LUALDI GIUDITTA	Middleblocker	1995	186	ITA	
2018-2019	A2	P2p Baronissi	1	DASCALU ALEXANDRA	Opposite	1991	184	FRA	
2018-2019	A2	P2p Baronissi	2	RAGO GIULIA	Middleblocker	1994	178	ITA	from 09/02/2019
2018-2019	A2	P2p Baronissi	3	FERRARA MARIANNA	Spiker	1996	178	ITA	until 30/11/2018
2018-2019	A2	P2p Baronissi	4	FERRARI ANDREA	Setter	1996	180	ITA	
2018-2019	A2	P2p Baronissi	5	PRESTANTI ANGELA	Middleblocker	1992	192	ITA	
2018-2019	A2	P2p Baronissi	6	CECCONELLO AGNESE	Middleblocker	1999	188	ITA	
2018-2019	A2	P2p Baronissi	7	STROBBE MARILYN	Middleblocker	1989	188	ITA	
2018-2019	A2	P2p Baronissi	11	PISTOLESI AURORA	Spiker	1999	186	ITA	
2018-2019	A2	P2p Baronissi	12	ARCIPRETE ALESSIA	Spiker	1997	180	ITA	
2018-2019	A2	P2p Baronissi	13	DALL'IGNA STEFANIA	Setter	1984	175	ITA	
2018-2019	A2	P2p Baronissi	15	GINANNESCHI DANIELA	Spiker	1978	175	ITA	
2018-2019	A2	P2p Baronissi	16	HODZIC ALYSSA	Opposite	1997	185	ITA	
2018-2019	A2	P2p Baronissi	17	FERRARA MARTINA	Libero	1999	168	ITA	
2018-2019	A2	Sigel Marsala	1	DONARELLI ELISA	Middleblocker	1991	187	ITA	from 16/01/2019
2018-2019	A2	Sigel Marsala	2	COSI FRANCESCA	Middleblocker	2000	186	ITA	
2018-2019	A2	Sigel Marsala	3	LUZZI SHARON	Opposite	1999	190	ITA	
2018-2019	A2	Sigel Marsala	4	AMERI ALESSIA	Libero	1985	175	ITA	
2018-2019	A2	Sigel Marsala	5	GABRIELI ELENA	Middleblocker	1992	189	ITA	
2018-2019	A2	Sigel Marsala	7	TURL? SOFIA	Setter	1998	178	ITA	
2018-2019	A2	Sigel Marsala	8	BRZEZINSKA EWELINA WERONIKA	Spiker	1988	182	POL	until 09/01/2019
2018-2019	A2	Sigel Marsala	9	SCHWAN COURTNEY ROSE	Spiker	1996	185	USA	from 16/01/2019 PROVENIENTE DA LARDINI FILOTTRANO
2018-2019	A2	Sigel Marsala	10	VACCARO SIMONA	Libero	1996	168	ITA	
2018-2019	A2	Sigel Marsala	11	FUCKA TATJANA	Middleblocker	1999	190	ITA	
2018-2019	A2	Sigel Marsala	12	ANGELONI VERONICA	Spiker	1986	186	ITA	
2018-2019	A2	Sigel Marsala	14	AVENIA GIORGIA	Setter	1994	180	ITA	
2018-2019	A2	Sigel Marsala	16	TABORELLI VERONICA	Opposite	1994	184	ITA	
2018-2019	A2	Sigel Marsala	17	SALVESTRINI LARA	Spiker	1999	183	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	1	BOVO LAURA	Middleblocker	1996	190	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	2	LARSON KIRA	Opposite	1995	188	USA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	4	TREVISAN FRANCESCA	Spiker	1995	180	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	6	STOCCO MARTINA	Setter	2000	188	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	7	FIOCCO MARIANNA	Middleblocker	1994	185	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	8	FRISON CHIARA	Spiker	1998	176	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	10	PAMIO ALICE	Spiker	1998	181	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	11	BARTOLINI BENEDETTA	Middleblocker	1999	184	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	12	PERICATI YLENIA	Libero	1994	174	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	14	GIROLDI BEATRICE	Setter	1995	170	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	15	CARLETTI FEDERICA	Spiker	2000	184	ITA	
2018-2019	A2	Sorelle Ramonda Ipag Montecchio	16	MICHIELETTO FRANCESCA	Spiker	1997	183	ITA	
2018-2019	A2	Volley Hermaea Olbia	1	BACCIOTTINI BARBARA	Setter	1994	181	ITA	
2018-2019	A2	Volley Hermaea Olbia	3	TAJ? SARA	Middleblocker	1998	187	ITA	
2018-2019	A2	Volley Hermaea Olbia	4	FIORE EMANUELA	Opposite	1986	183	ITA	
2018-2019	A2	Volley Hermaea Olbia	6	PADULA STEFANIA	Middleblocker	1995	187	ITA	
2018-2019	A2	Volley Hermaea Olbia	7	MODENA GIULIA	Libero	1995	177	ITA	from 14/01/2019
2018-2019	A2	Volley Hermaea Olbia	7	MOLTRASIO GIULIA	Setter	1996	180	ITA	until 31/10/2018
2018-2019	A2	Volley Hermaea Olbia	8	NIKOLAEVA OLESYA	Spiker	1994	188	RUS	until 21/01/2019
2018-2019	A2	Volley Hermaea Olbia	9	HURST MARTA SANTOS	Spiker	1992	184	POR	from 21/01/2019
2018-2019	A2	Volley Hermaea Olbia	10	DEGORTES SIMONA	Libero	1991	158	ITA	
2018-2019	A2	Volley Hermaea Olbia	11	MELE LUDOVICA	Libero	2000	163	ITA	
2018-2019	A2	Volley Hermaea Olbia	12	D'ELIA CHIARA	Spiker	1995	180	ITA	
2018-2019	A2	Volley Hermaea Olbia	13	MARUOTTI ILARIA	Spiker	1994	183	ITA	
2018-2019	A2	Volley Hermaea Olbia	15	GIOMETTI DIANA	Spiker	1996	180	ITA	
2018-2019	A2	Volley Hermaea Olbia	18	BARAZZA JENNY	Middleblocker	1981	188	ITA	
2018-2019	A2	Volley Soverato	2	BORIASSI GIADA	Middleblocker	1992	188	ITA	
2018-2019	A2	Volley Soverato	4	FORMENTI LUCREZIA	Spiker	1996	175	ITA	
2018-2019	A2	Volley Soverato	5	NAPODANO FRANCESCA	Libero	1999	175	ITA	
2018-2019	A2	Volley Soverato	7	ARIC? RAMONA	Opposite	1985	187	ITA	
2018-2019	A2	Volley Soverato	9	BOLDINI JENNIFER	Setter	1999	187	ITA	
2018-2019	A2	Volley Soverato	11	HURLEY HILLARY	Spiker	1989	188	USA	
2018-2019	A2	Volley Soverato	12	BARBIERO GIADA	Opposite	2000	187	ITA	
2018-2019	A2	Volley Soverato	13	GUIDI LUDOVICA	Middleblocker	1992	185	ITA	
2018-2019	A2	Volley Soverato	14	TANASE ALICE	Spiker	2000	183	ITA	
2018-2019	A2	Volley Soverato	15	SACCANI FEDERICA	Setter	1998	180	ITA	
2018-2019	A2	Volley Soverato	16	MANGANI LINDA	Spiker	2000	184	ITA	
2018-2019	A2	Volley Soverato	17	RIPARBELLI CHIARA	Middleblocker	1996	188	ITA	
2018-2019	A2	Zambelli Orvieto	1	MUCCIOLA VALERIA	Setter	1994	174	ITA	
2018-2019	A2	Zambelli Orvieto	3	ANGELINI SARA	Middleblocker	1989	185	ITA	
2018-2019	A2	Zambelli Orvieto	4	MONTANI MILA	Middleblocker	1988	185	ITA	
2018-2019	A2	Zambelli Orvieto	5	CIARROCCHI MICHELA	Middleblocker	1999	185	ITA	
2018-2019	A2	Zambelli Orvieto	6	CECCHETTO GIADA	Libero	1991	164	ITA	
2018-2019	A2	Zambelli Orvieto	7	QUILIGOTTI GERALDINA	Libero	1994	167	ITA	
2018-2019	A2	Zambelli Orvieto	8	BUSSOLI SILVIA	Spiker	1993	184	ITA	
2018-2019	A2	Zambelli Orvieto	9	D'ODORICO SOFIA	Spiker	1997	186	ITA	
2018-2019	A2	Zambelli Orvieto	10	STAVNETCHEI GABRIELA	Spiker	1996	178	BRA	until 26/03/2019
2018-2019	A2	Zambelli Orvieto	11	PRANDI VITTORIA	Setter	1994	180	ITA	
2018-2019	A2	Zambelli Orvieto	12	KANTOR MERCEDESZ	Spiker	1998	182	ITA	
2018-2019	A2	Zambelli Orvieto	14	VENTURINI ANNA	Spiker	1998	183	ITA	
2018-2019	A2	Zambelli Orvieto	17	DECORTES CLARA	Opposite	1996	183	ITA	
2019-2020	A2	Acqua & Sapone Roma Volley Club	1	MASTRODICASA FEDERICA	Middleblocker	1988	182	ITA	
2019-2020	A2	Acqua & Sapone Roma Volley Club	2	PIETRELLI GIULIA	Spiker	1988	177	ITA	
2019-2020	A2	Acqua & Sapone Roma Volley Club	3	BUCCI GIULIA	Libero	2002	173	ITA	
2019-2020	A2	Acqua & Sapone Roma Volley Club	4	DE LUCA BOSSA ALICE	Setter	2000	177	ITA	
2019-2020	A2	Acqua & Sapone Roma Volley Club	5	BALBONI MARTINA	Setter	1991	180	ITA	
2019-2020	A2	Acqua & Sapone Roma Volley Club	6	CECCONELLO AGNESE	Middleblocker	1999	190	ITA	
